2023-08-09T06:05:39.852Z info: 	validationResult:{"value":{"firstName":"shubham","lastName":"jasiwal","email":"shubham@gmail.com","password":"string@123"}}
2023-08-09T10:36:48.376Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T10:36:48.390Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T10:39:20.830Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T10:39:20.840Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T10:40:34.816Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T10:40:34.827Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T10:40:53.523Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T10:40:53.543Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T10:42:35.103Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T10:42:35.113Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T11:04:24.726Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T11:04:24.738Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T11:34:10.562Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T11:34:10.570Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T12:04:36.624Z info: 	validationResult:{"value":{"email":"rohit@gmail.com","password":"string@123"}}
2023-08-09T12:04:36.648Z info: 	existing user:{"id":6,"firstName":"rohit","lastName":"bharti","email":"rohit@gmail.com","password":"string@123","createdAt":"2023-08-09T09:23:17.000Z","updatedAt":"2023-08-09T09:23:17.000Z"}
2023-08-09T12:04:45.543Z error: 	[loginService]:Query-User-Exists-Error User.DELETE is not a function
2023-08-09T12:04:45.547Z error: 	[loginController] error while login user{"code":2,"message":"database operation error"}
2023-08-09T12:05:25.899Z error: 	[loginService]:Query-User-Exists-Error User.delete is not a function
2023-08-09T12:05:25.900Z error: 	[loginController] error while login user{"code":2,"message":"database operation error"}
